Time,Latitude,Longitude,Intensity
19520918  1200,23.0,-116.3,75
19520918  1800,23.2,-116.9,75
19520919  0000,23.5,-117.6,75
19520919  0600,23.8,-118.3,75
19520919  1200,24.0,-118.9,75
19520919  1800,24.4,-119.4,75
19520920  0000,24.8,-119.9,75
19520920  0600,25.2,-120.4,75
19520920  1200,25.5,-120.9,75
19520920  1800,25.8,-121.2,45
19520921  0000,26.0,-121.5,45
19520921  0600,26.8,-122.4,45
19520921  1200,27.5,-123.4,45
19520921  1800,27.7,-124.2,45
19520922  0000,27.8,-125.0,45
19520922  0600,27.9,-125.8,45
19520922  1200,28.0,-126.5,45
19520926  1200,18.1,-107.9,45
19520926  1800,18.1,-108.7,45
19520927  0000,18.1,-109.3,45
19520927  0600,18.2,-109.7,45
19520927  1200,18.4,-110.0,45
19520927  1800,18.7,-110.5,45
19520928  0000,19.0,-111.0,45
19520928  0600,19.4,-111.5,45
19520928  1200,19.8,-111.9,45
19521013  1200,17.4,-121.1,75
19521013  1800,17.4,-122.0,75
19521014  0000,17.4,-122.9,75
19521014  0600,17.5,-124.0,75
19521014  1200,17.6,-125.0,75
19521014  1800,17.7,-125.6,75
19521015  0000,17.8,-126.3,75
19521015  0600,17.9,-127.1,75
19521015  1200,18.0,-127.9,75
19530825  0000,19.1,-109.4,45
19530825  0600,19.6,-110.1,45
19530825  1200,20.3,-110.7,45
19530825  1800,21.1,-111.2,45
19530826  0000,21.9,-111.7,45
19530826  0600,22.5,-112.2,45
19530826  1200,23.1,-112.6,45
19530826  1800,23.7,-112.9,45
19530827  0000,24.4,-113.0,45
19530909  1200,17.8,-122.5,45
19530909  1800,18.7,-123.8,45
19530910  0000,19.5,-124.7,45
19530910  0600,20.2,-125.2,45
19530910  1200,20.7,-125.3,45
19530914  0000,17.9,-108.1,75
19530914  0600,18.5,-108.6,75
19530914  1200,19.2,-108.9,75
19530914  1800,19.5,-108.9,75
19530915  0000,19.8,-108.9,75
19530915  0600,20.3,-108.8,75
19530915  1200,20.7,-108.7,75
19530915  1800,21.1,-108.4,75
19530916  0000,21.6,-108.2,75
19530916  0600,21.9,-108.1,75
19530916  1200,22.3,-108.1,75
19530916  1800,22.8,-108.1,75
19530917  0000,23.3,-108.2,75
19531002  0000,13.9,-101.7,75
19531002  0600,14.5,-102.0,75
19531002  1200,15.0,-102.4,75
19531002  1800,15.7,-103.0,75
19531003  0000,16.3,-103.7,75
19531003  0600,17.0,-104.5,75
19531003  1200,17.7,-105.2,75
19531003  1800,18.3,-105.6,75
19531004  0000,18.9,-106.1,75
19531004  0600,19.3,-106.9,75
19531004  1200,19.5,-107.8,75
19531004  1800,19.6,-108.7,75
19531005  0000,19.8,-109.6,75
19531005  0600,19.9,-110.4,75
19531005  1200,20.1,-111.2,75
19531005  1800,20.2,-111.7,75
19531006  0000,20.3,-112.2,75
19531006  0600,20.4,-112.6,75
19531006  1200,20.5,-113.0,75
19531006  1800,20.4,-113.4,75
19531007  0000,20.3,-113.8,75
19531007  0600,20.2,-114.3,75
19531007  1200,20.1,-114.7,75
19531007  1800,20.0,-115.2,75
19531008  0000,19.8,-115.7,75
19540618  0000,13.0,-93.2,45
19540618  0600,13.5,-94.1,45
19540618  1200,14.0,-94.7,45
19540618  1800,14.4,-95.2,45
19540619  0000,14.7,-95.6,45
19540619  0600,14.9,-96.0,45
19540619  1200,15.1,-96.4,45
19540619  1800,15.3,-96.8,45
19540620  0000,15.5,-97.3,45
19540620  0600,15.6,-97.9,45
19540620  1200,15.7,-98.5,45
19540620  1800,15.8,-99.3,45
19540621  0000,16.0,-100.0,45
19540621  0600,16.1,-100.5,45
19540621  1200,16.3,-101.0,45
19540621  1800,16.4,-101.5,45
19540622  0000,16.5,-102.0,45
19540622  0600,16.8,-102.2,45
19540622  1200,17.2,-102.2,45
19540710  0000,15.1,-105.2,45
19540710  0600,15.7,-106.0,45
19540710  1200,16.4,-106.8,45
19540710  1800,16.8,-107.3,45
19540711  0000,17.3,-107.9,45
19540711  0600,18.0,-109.0,45
19540711  1200,18.2,-110.2,45
19540711  1800,18.2,-111.5,45
19540712  0000,18.1,-112.8,45
19540712  0600,18.1,-113.9,45
19540712  1200,18.0,-115.0,45
19540712  1800,18.0,-115.7,45
19540713  0000,17.9,-116.4,45
19540713  0600,17.8,-116.8,45
19540713  1200,17.6,-117.3,45
19540713  1800,17.3,-117.8,45
19540714  0000,16.9,-118.3,45
19540714  0600,16.7,-119.0,45
19540714  1200,16.4,-119.6,45
19540714  1800,16.1,-120.2,45
19540715  0000,15.7,-120.7,45
19540715  0600,15.4,-121.2,45
19540715  1200,15.1,-121.7,45
19540715  1800,14.9,-122.0,45
19540716  0000,14.7,-122.3,45
19540712  0000,13.8,-95.1,75
19540712  0600,13.6,-95.7,75
19540712  1200,13.5,-96.4,75
19540712  1800,13.5,-97.0,75
19540713  0000,13.6,-97.6,75
19540713  0600,13.8,-98.4,75
19540713  1200,14.0,-99.2,75
19540713  1800,14.3,-100.7,75
19540714  0000,14.6,-102.2,75
19540714  0600,15.1,-103.3,75
19540714  1200,15.6,-104.3,75
19540714  1800,16.1,-105.2,75
19540715  0000,16.7,-106.1,75
19540715  0600,17.5,-107.0,75
19540715  1200,18.4,-107.8,75
19540715  1800,19.4,-108.5,75
19540716  0000,20.4,-109.1,75
19540716  0600,21.3,-109.7,75
19540716  1200,22.3,-110.3,75
19540716  1800,23.5,-111.4,75
19540717  0000,24.8,-112.6,75
19540717  0600,26.3,-113.1,75
19540717  1200,27.9,-113.1,75
19540725  0000,18.6,-112.7,75
19540725  0600,19.0,-113.8,75
19540725  1200,19.2,-115.0,75
19540725  1800,19.1,-115.9,75
19540726  0000,19.0,-116.6,75
19540726  0600,18.9,-117.1,75
19540726  1200,18.8,-117.5,75
19540726  1800,18.6,-118.2,75
19540727  0000,18.3,-118.8,75
19540727  0600,17.8,-119.2,75
19540727  1200,17.3,-119.7,75
19540727  1800,17.0,-120.4,75
